Date,Amount,Category,Description
2023-03-27,-46.22,Rent,UNKNOWN VENDOR
2023-02-05,626.51,Groceries,UNKNOWN VENDOR
2023-01-21,131.64,,STARBUCKS
2023-02-16,-16294.81,Uncategorized,PAYROLL
2023-09-17,-13506.74,Software,AWS CLOUD
2023-02-08,216.48,Rent,OFFICE DEPOT
2023-07-26,889.76,Software,OFFICE DEPOT
2023-12-13,890.76,Travel,UNKNOWN VENDOR
2023-11-21,-2416.63,Rent,UNKNOWN VENDOR
2023-10-15,-142.91,Software,PAYROLL
2023-04-17,-342.07,Uncategorized,UBER EATS
2023-01-11,962.23,Software,PAYROLL
2023-02-05,-340.61,Uncategorized,AWS CLOUD
2023-01-25,480.09,Travel,STARBUCKS
2023-12-05,-456.6,Software,AWS CLOUD
2023-04-26,310.92,,UBER EATS
2023-04-10,-478.86,Rent,UBER EATS
2023-09-23,873.74,Groceries,DELTA AIRLINES
2023-09-04,11356.07,Uncategorized,DELTA AIRLINES
2023-12-23,796.0,Travel,UBER EATS
2023-12-24,755.77,Uncategorized,DELTA AIRLINES
2023-10-10,515.97,,AWS CLOUD
2023-08-16,-323.58,Rent,UBER EATS
2023-02-09,-338.22,,PAYROLL
2023-06-20,472.27,Software,OFFICE DEPOT
2023-01-04,680.43,Rent,STARBUCKS
2023-10-21,-344.33,Groceries,UBER EATS
2023-07-11,9321.07,Software,AWS CLOUD
2023-06-09,73.06,Travel,STARBUCKS
2023-11-24,634.94,Uncategorized,OFFICE DEPOT
2023-09-30,489.95,Groceries,STARBUCKS
2023-07-02,-69.99,Rent,PAYROLL
2023-02-12,313.66,Travel,UBER EATS
2023-09-13,971.95,Software,PAYROLL
2023-06-12,299.74,Travel,DELTA AIRLINES
2023-04-14,797.57,Rent,OFFICE DEPOT
2023-10-14,490.18,Uncategorized,DELTA AIRLINES
2023-07-31,152.89,Groceries,UBER EATS
2023-05-09,-367.31,Rent,UBER EATS
2023-10-11,316.37,,UNKNOWN VENDOR
2023-11-30,-171.12,Uncategorized,UNKNOWN VENDOR
2023-02-20,132.52,Groceries,UBER EATS
2023-05-04,498.53,Software,PAYROLL
2023-08-03,-72.49,,STARBUCKS
2023-07-11,100.14,,STARBUCKS
2023-01-02,-294.98,Software,STARBUCKS
2023-08-04,505.94,Travel,UNKNOWN VENDOR
2023-08-21,553.12,,STARBUCKS
2023-10-16,652.73,Software,UBER EATS
2023-02-23,-479.76,Groceries,DELTA AIRLINES
2023-09-19,714.26,,OFFICE DEPOT
2023-05-01,899.56,Travel,UNKNOWN VENDOR
2023-09-19,587.03,,OFFICE DEPOT
2023-04-01,-232.98,Software,UBER EATS
2023-03-08,175.08,Groceries,PAYROLL
2023-05-07,-31.98,Uncategorized,OFFICE DEPOT
2023-04-05,143.98,Groceries,DELTA AIRLINES
2023-11-21,-245.22,Travel,AWS CLOUD
2023-05-02,-9.73,Software,STARBUCKS
2023-04-18,870.72,Travel,UNKNOWN VENDOR
2023-09-19,809.38,,DELTA AIRLINES
2023-08-20,966.08,Travel,UNKNOWN VENDOR
2023-10-21,931.01,,STARBUCKS
2023-06-22,86.9,Uncategorized,UNKNOWN VENDOR
2023-07-09,617.62,Software,OFFICE DEPOT
2023-07-05,152.4,Travel,PAYROLL
2023-11-17,-177.15,Rent,AWS CLOUD
2023-02-14,423.29,Uncategorized,DELTA AIRLINES
2023-06-08,612.32,,AWS CLOUD
2023-08-24,837.18,,STARBUCKS
2023-01-28,854.93,Travel,DELTA AIRLINES
2023-06-04,-219.39,Uncategorized,DELTA AIRLINES
2023-08-11,399.16,Uncategorized,PAYROLL
2023-04-21,545.69,Software,UNKNOWN VENDOR
2023-10-08,12577.07,Groceries,PAYROLL
2023-06-18,-35.74,Travel,OFFICE DEPOT
2023-08-11,-143.7,Groceries,DELTA AIRLINES
2023-06-02,-160.49,Rent,DELTA AIRLINES
2023-01-30,436.43,Rent,AWS CLOUD
2023-08-13,791.4,,PAYROLL
2023-09-03,103.63,Groceries,AWS CLOUD
2023-06-16,673.34,Groceries,PAYROLL
2023-02-10,-392.72,,AWS CLOUD
2023-05-11,882.6,Software,UNKNOWN VENDOR
2023-11-16,906.49,Uncategorized,AWS CLOUD
2024-01-01,896.14,Uncategorized,STARBUCKS
2023-07-30,-188.97,Uncategorized,UNKNOWN VENDOR
2023-02-10,348.08,,STARBUCKS
2023-01-19,861.46,Rent,AWS CLOUD
2023-03-08,-127.95,Software,UNKNOWN VENDOR
2023-12-20,-86.16,,PAYROLL
2023-05-12,-38.12,,OFFICE DEPOT
2023-03-16,638.72,Rent,STARBUCKS
2023-12-17,94.49,Uncategorized,UNKNOWN VENDOR
2023-07-03,828.22,Travel,AWS CLOUD
2023-06-16,16130.4,,OFFICE DEPOT
2023-03-10,277.92,Uncategorized,UBER EATS
2023-08-18,10.73,Travel,PAYROLL
2023-04-06,542.34,Rent,STARBUCKS
2023-07-02,-200.27,Uncategorized,DELTA AIRLINES
2023-04-13,71.07,Travel,UBER EATS
2023-05-20,911.34,Uncategorized,UBER EATS
2023-11-05,321.87,Travel,OFFICE DEPOT
2023-11-05,-394.36,Travel,PAYROLL
2023-02-11,-315.7,Rent,PAYROLL
2023-04-15,-115.67,Groceries,UBER EATS
2023-12-28,123.98,Rent,STARBUCKS
2023-05-03,287.61,Rent,UNKNOWN VENDOR
2023-04-10,-470.5,Rent,PAYROLL
2023-03-20,194.21,Groceries,UBER EATS
2023-02-24,-42.5,Travel,STARBUCKS
2023-02-19,-243.82,Travel,UBER EATS
2023-02-13,592.22,Software,UBER EATS
2023-12-23,-268.24,Travel,AWS CLOUD
2023-03-17,571.25,,STARBUCKS
2023-12-14,-32.71,Rent,AWS CLOUD
2023-04-26,324.91,,UNKNOWN VENDOR
2023-03-03,536.69,Groceries,UNKNOWN VENDOR
2023-10-03,-239.92,Groceries,UBER EATS
2023-02-25,-259.73,Groceries,PAYROLL
2023-12-23,-8045.97,Travel,OFFICE DEPOT
2023-07-06,696.9,Uncategorized,OFFICE DEPOT
2023-09-26,48.19,,UNKNOWN VENDOR
2023-02-15,16519.9,Travel,PAYROLL
2023-05-08,-233.96,Travel,UNKNOWN VENDOR
2023-11-16,-113.02,Groceries,PAYROLL
2023-02-25,379.5,Uncategorized,UNKNOWN VENDOR
2023-05-30,622.08,Rent,AWS CLOUD
2023-02-28,636.49,Travel,STARBUCKS
2023-07-08,568.37,Software,UNKNOWN VENDOR
2023-02-02,345.22,Travel,AWS CLOUD
2023-10-05,269.33,Uncategorized,PAYROLL
2023-08-17,-441.91,Software,AWS CLOUD
2023-10-24,-366.95,Groceries,UBER EATS
2023-07-30,-181.22,Groceries,OFFICE DEPOT
2023-06-10,575.47,,PAYROLL
2023-08-10,561.61,Uncategorized,STARBUCKS
2023-06-25,493.72,Travel,UBER EATS
2023-12-26,969.02,Rent,DELTA AIRLINES
2023-08-09,252.96,Rent,STARBUCKS
2023-01-17,773.49,,AWS CLOUD
2023-09-19,658.52,,UBER EATS
2023-01-02,-375.08,Uncategorized,STARBUCKS
2023-01-15,971.42,Rent,UNKNOWN VENDOR
2023-04-27,643.29,Travel,AWS CLOUD
2023-04-06,-47.18,Groceries,UNKNOWN VENDOR
2023-03-15,760.98,Software,STARBUCKS
2023-03-03,-467.37,Software,DELTA AIRLINES
2023-08-30,951.94,Travel,DELTA AIRLINES
2023-10-26,-406.14,,UNKNOWN VENDOR
2023-11-09,-2.65,,DELTA AIRLINES
2023-04-20,-169.48,Uncategorized,STARBUCKS
2023-05-31,-470.25,Rent,UBER EATS
2023-07-28,74.58,Rent,DELTA AIRLINES
2023-03-24,512.47,Uncategorized,UNKNOWN VENDOR
2023-02-02,260.85,,AWS CLOUD
2023-10-07,-175.2,Uncategorized,STARBUCKS
2023-04-02,244.65,Groceries,STARBUCKS
2023-09-12,-157.71,Rent,UBER EATS
2023-08-28,610.2,Uncategorized,UNKNOWN VENDOR
2023-11-29,95.47,Groceries,AWS CLOUD
2023-09-18,979.41,Groceries,DELTA AIRLINES
2023-09-12,414.83,Travel,OFFICE DEPOT
2023-03-09,557.54,Rent,UNKNOWN VENDOR
2023-04-19,-131.4,Rent,AWS CLOUD
2023-02-22,-209.82,Uncategorized,PAYROLL
2023-05-17,-103.99,Software,UNKNOWN VENDOR
2023-06-15,681.62,Rent,PAYROLL
2023-10-23,10.48,Uncategorized,DELTA AIRLINES
2023-06-12,153.15,Rent,STARBUCKS
2023-01-04,767.26,Rent,OFFICE DEPOT
2023-07-05,367.04,Travel,AWS CLOUD
2023-10-16,808.44,Travel,AWS CLOUD
2023-04-06,-174.02,Uncategorized,AWS CLOUD
2023-11-01,416.7,Travel,OFFICE DEPOT
2023-05-11,72.81,Software,UBER EATS
2023-03-01,-404.36,,UNKNOWN VENDOR
2023-12-20,13375.49,Groceries,STARBUCKS
2023-11-17,737.02,Travel,PAYROLL
2023-06-12,43.44,Travel,PAYROLL
2023-12-02,461.09,Travel,DELTA AIRLINES
2023-01-24,555.88,Groceries,PAYROLL
2023-05-14,-10753.32,Groceries,OFFICE DEPOT
2023-04-14,-62.31,Software,UBER EATS
2023-05-24,-241.12,Travel,OFFICE DEPOT
2023-07-15,776.52,Software,UNKNOWN VENDOR
2023-02-09,530.34,Software,PAYROLL
2023-07-09,-392.31,Software,AWS CLOUD
2023-07-16,435.52,Software,OFFICE DEPOT
2023-02-09,688.24,Uncategorized,DELTA AIRLINES
2023-06-03,61.41,Travel,OFFICE DEPOT
2023-06-14,164.88,,STARBUCKS
2023-09-27,518.14,Groceries,STARBUCKS
2023-07-11,4601.02,Uncategorized,UNKNOWN VENDOR
2023-04-11,211.02,Software,STARBUCKS
2023-03-25,865.26,Groceries,STARBUCKS
2023-10-30,982.53,Travel,PAYROLL
2023-07-09,907.16,Uncategorized,PAYROLL
2023-02-12,-76.14,Software,UBER EATS
2023-09-10,606.44,Travel,UBER EATS
2023-04-05,810.46,Software,STARBUCKS
2023-08-20,491.01,Rent,DELTA AIRLINES
2023-09-14,249.18,,UBER EATS
2023-03-25,-36.89,,AWS CLOUD
2023-11-10,12076.8,Rent,PAYROLL
2023-05-17,166.46,Software,AWS CLOUD
2023-01-25,356.75,Rent,PAYROLL
2023-07-15,265.57,Rent,PAYROLL
2023-12-19,-224.38,Software,STARBUCKS
2023-10-13,276.09,Travel,AWS CLOUD
2023-10-14,60.1,Software,PAYROLL
2023-12-23,775.27,Software,UNKNOWN VENDOR
2023-01-21,-483.41,Travel,DELTA AIRLINES
2023-10-18,187.49,Travel,PAYROLL
2023-10-17,-80.33,Groceries,OFFICE DEPOT
2023-09-09,-415.19,Software,UBER EATS
2023-08-31,-371.66,Uncategorized,AWS CLOUD
2023-11-17,-487.81,Travel,UNKNOWN VENDOR
2023-11-13,-267.19,Software,UNKNOWN VENDOR
2023-08-07,-44.36,Travel,AWS CLOUD
2023-03-14,505.04,Groceries,AWS CLOUD
2023-09-08,362.67,,OFFICE DEPOT
2023-11-18,-329.86,Uncategorized,UNKNOWN VENDOR
2023-07-06,686.43,,STARBUCKS
2023-08-11,888.5,Travel,UNKNOWN VENDOR
2023-02-15,-21.22,Groceries,OFFICE DEPOT
2023-08-14,-48.15,Travel,DELTA AIRLINES
2023-03-01,-233.29,Rent,AWS CLOUD
2023-08-31,-25.54,Uncategorized,UNKNOWN VENDOR
2023-01-27,384.54,Groceries,AWS CLOUD
2023-10-05,821.18,,UNKNOWN VENDOR
2023-10-15,575.51,Rent,OFFICE DEPOT
2023-12-30,-447.87,Groceries,PAYROLL
2023-06-03,-403.08,Travel,STARBUCKS
2023-05-27,655.45,Groceries,OFFICE DEPOT
2023-01-13,-235.58,Rent,DELTA AIRLINES
2023-03-11,118.13,Uncategorized,PAYROLL
2023-09-05,-268.45,Uncategorized,UBER EATS
2023-08-06,440.35,Uncategorized,UBER EATS
2023-01-16,442.47,,UBER EATS
2023-12-12,341.1,,DELTA AIRLINES
2023-03-09,233.28,Groceries,DELTA AIRLINES
2023-12-02,660.26,Travel,STARBUCKS
2023-02-15,577.04,Uncategorized,DELTA AIRLINES
2023-10-28,-293.91,Software,STARBUCKS
2023-04-25,-489.18,Rent,AWS CLOUD
2023-02-07,-78.49,Uncategorized,OFFICE DEPOT
2023-04-11,-91.22,Software,OFFICE DEPOT
2023-07-26,124.73,Groceries,UBER EATS
2023-08-16,57.57,Travel,STARBUCKS
2023-03-22,-192.36,Groceries,AWS CLOUD
2023-01-14,-411.98,Groceries,DELTA AIRLINES
2023-08-21,-378.34,Groceries,DELTA AIRLINES
2023-07-02,-366.35,Rent,UBER EATS
2023-12-14,642.76,Groceries,UBER EATS
2023-09-30,690.7,,UNKNOWN VENDOR
2023-06-06,-175.29,Groceries,STARBUCKS
2023-11-26,491.0,Travel,UNKNOWN VENDOR
2023-04-14,434.92,Software,UNKNOWN VENDOR
2023-07-13,-40.37,,AWS CLOUD
2023-05-30,959.7,Software,PAYROLL
2023-05-01,35.35,,UBER EATS
2023-05-29,-397.83,Software,UBER EATS
2023-10-27,196.66,Rent,UBER EATS
2023-01-04,720.56,Rent,STARBUCKS
2023-02-28,-248.47,Travel,PAYROLL
2023-05-12,711.53,Rent,UBER EATS
2023-11-02,749.54,Uncategorized,STARBUCKS
2023-06-16,-271.98,Groceries,PAYROLL
2023-07-24,866.47,Travel,STARBUCKS
2023-09-02,527.8,,DELTA AIRLINES
2023-06-16,796.58,,UNKNOWN VENDOR
2023-12-29,487.69,Travel,PAYROLL
2023-01-27,590.64,Rent,UBER EATS
2023-08-19,-76.87,Uncategorized,OFFICE DEPOT
2023-02-05,-354.23,Software,AWS CLOUD
2023-02-08,-240.41,Travel,STARBUCKS
2023-04-09,-18.79,Travel,DELTA AIRLINES
2023-02-04,-361.81,Uncategorized,STARBUCKS
2023-02-12,656.59,Rent,AWS CLOUD
2023-02-02,-11915.65,Uncategorized,AWS CLOUD
2023-05-12,-397.76,,UBER EATS
2023-10-29,970.86,Travel,DELTA AIRLINES
2023-05-26,-225.6,Uncategorized,DELTA AIRLINES
2023-04-30,580.86,Software,STARBUCKS
2023-08-16,-237.03,Groceries,UNKNOWN VENDOR
2023-06-26,939.56,Travel,PAYROLL
2023-09-19,442.02,Travel,UBER EATS
2023-04-07,709.79,Travel,DELTA AIRLINES
2023-11-27,545.27,Software,STARBUCKS
2023-01-13,168.56,,STARBUCKS
2023-11-19,249.04,Rent,OFFICE DEPOT
2023-04-11,2835.69,Groceries,UNKNOWN VENDOR
2023-07-29,287.26,,DELTA AIRLINES
2023-09-03,348.51,Uncategorized,STARBUCKS
2023-07-23,-410.17,Uncategorized,STARBUCKS
2023-05-23,725.15,Travel,STARBUCKS
2023-03-21,-324.31,Software,DELTA AIRLINES
2023-07-31,-263.89,Rent,DELTA AIRLINES
2023-03-24,590.71,Rent,OFFICE DEPOT
2023-05-02,-479.36,Travel,AWS CLOUD
2023-10-13,13.22,Rent,UBER EATS
2023-01-17,390.92,Rent,UNKNOWN VENDOR
2023-06-18,261.01,Groceries,AWS CLOUD
2023-10-29,648.09,Software,STARBUCKS
2023-02-23,158.74,Uncategorized,OFFICE DEPOT
2023-02-17,-221.93,,UNKNOWN VENDOR
2023-10-02,-151.17,,UNKNOWN VENDOR
2023-03-21,984.42,,UBER EATS
2023-08-19,719.27,Software,DELTA AIRLINES
2023-11-02,349.13,Travel,OFFICE DEPOT
2023-01-01,-316.58,Uncategorized,UNKNOWN VENDOR
2023-06-19,-457.08,Travel,STARBUCKS
2023-07-20,2.37,Uncategorized,PAYROLL
2023-02-11,401.11,Uncategorized,UBER EATS
2023-02-02,392.33,Uncategorized,OFFICE DEPOT
2023-05-18,-412.91,Rent,OFFICE DEPOT
2023-06-30,114.22,,OFFICE DEPOT
2023-07-04,666.88,,STARBUCKS
2023-04-11,-39.96,Uncategorized,DELTA AIRLINES
2023-03-08,55.08,Groceries,PAYROLL
2023-12-08,753.45,Uncategorized,UNKNOWN VENDOR
2023-02-13,306.69,Groceries,UBER EATS
2023-03-28,-118.84,Groceries,UNKNOWN VENDOR
2023-01-28,187.72,Rent,UBER EATS
2023-09-08,-71.44,Rent,OFFICE DEPOT
2023-11-21,22.43,Uncategorized,DELTA AIRLINES
2023-12-11,-188.16,Rent,OFFICE DEPOT
2023-11-22,736.97,Groceries,UNKNOWN VENDOR
2023-10-12,204.21,Rent,UBER EATS
2023-07-10,-226.58,Uncategorized,OFFICE DEPOT
2023-05-22,-116.66,Groceries,UNKNOWN VENDOR
2023-12-09,-491.2,Software,UBER EATS
2023-09-11,960.04,Travel,STARBUCKS
2023-05-27,520.76,Uncategorized,PAYROLL
2023-03-14,1587.12,Uncategorized,OFFICE DEPOT
2023-12-12,10.4,Uncategorized,OFFICE DEPOT
2023-10-16,942.34,Travel,DELTA AIRLINES
2023-10-11,473.61,Travel,UNKNOWN VENDOR
2023-02-16,-391.92,Software,DELTA AIRLINES
2023-01-11,818.05,Travel,UBER EATS
2023-07-01,-54.56,Travel,AWS CLOUD
2023-05-11,-211.77,Rent,PAYROLL
2023-03-21,344.11,Uncategorized,DELTA AIRLINES
2023-10-17,-272.88,Travel,AWS CLOUD
2023-08-21,-388.69,Software,UBER EATS
2023-07-06,-402.82,Travel,PAYROLL
2023-01-30,-171.22,Rent,PAYROLL
2023-02-05,-398.48,Software,PAYROLL
2023-08-20,-88.56,Rent,UBER EATS
2023-01-12,829.77,Groceries,UNKNOWN VENDOR
2023-11-11,-243.12,Uncategorized,PAYROLL
2023-12-09,-331.58,Uncategorized,PAYROLL
2023-04-28,10678.2,Travel,UBER EATS
2023-08-20,-112.63,Travel,AWS CLOUD
2023-05-05,691.14,Software,AWS CLOUD
2023-08-07,776.02,Uncategorized,AWS CLOUD
2023-03-02,295.77,Rent,UBER EATS
2023-09-24,-282.29,Groceries,UBER EATS
2023-02-28,157.62,Groceries,OFFICE DEPOT
2023-05-30,122.54,Rent,DELTA AIRLINES
2023-07-25,-86.11,Software,OFFICE DEPOT
2023-02-08,399.93,Software,STARBUCKS
2023-07-08,490.53,Software,AWS CLOUD
2023-05-05,247.5,Travel,STARBUCKS
2023-02-28,772.61,Software,AWS CLOUD
2023-06-23,261.97,Uncategorized,UNKNOWN VENDOR
2023-01-16,438.14,Software,UNKNOWN VENDOR
2023-05-20,-448.93,Rent,STARBUCKS
2023-12-14,290.82,Software,STARBUCKS
2023-05-26,252.0,Groceries,UBER EATS
2023-10-29,-135.21,Travel,UNKNOWN VENDOR
2023-02-01,-135.73,,AWS CLOUD
2023-12-13,273.26,,STARBUCKS
2023-05-06,830.7,Groceries,AWS CLOUD
2023-06-07,931.96,,STARBUCKS
2023-11-16,16824.83,Travel,UBER EATS
2023-09-04,-493.16,Uncategorized,UNKNOWN VENDOR
2023-08-12,621.19,Groceries,OFFICE DEPOT
2023-03-16,333.8,Travel,UNKNOWN VENDOR
2023-08-18,864.91,Travel,DELTA AIRLINES
2023-04-13,474.73,Groceries,DELTA AIRLINES
2023-09-18,-36.46,Rent,UBER EATS
2023-02-26,999.39,Software,UBER EATS
2023-08-02,-86.71,,UNKNOWN VENDOR
2023-05-11,593.12,Software,UBER EATS
2023-05-04,122.63,Software,UNKNOWN VENDOR
2023-08-21,924.97,Uncategorized,PAYROLL
2023-09-20,-492.62,Travel,STARBUCKS
2023-08-14,708.27,,AWS CLOUD
2023-01-09,-424.02,Software,STARBUCKS
2023-10-27,686.64,,AWS CLOUD
2023-01-10,486.59,,UBER EATS
2023-11-18,55.37,Travel,UBER EATS
2023-11-26,294.98,Travel,OFFICE DEPOT
2023-11-25,667.27,Rent,UBER EATS
2023-07-16,-470.61,Uncategorized,UNKNOWN VENDOR
2023-12-01,877.28,Groceries,DELTA AIRLINES
2023-12-29,830.09,Rent,UBER EATS
2023-02-06,862.48,,OFFICE DEPOT
2023-11-03,-79.0,Groceries,OFFICE DEPOT
2023-03-05,845.97,,UNKNOWN VENDOR
2023-06-20,-315.33,Travel,PAYROLL
2023-01-20,-104.13,Groceries,DELTA AIRLINES
2023-03-16,-398.88,,AWS CLOUD
2023-07-31,-14346.46,Software,STARBUCKS
2023-05-23,-387.04,Rent,AWS CLOUD
2023-09-29,863.52,Travel,AWS CLOUD
2023-11-18,686.76,Uncategorized,AWS CLOUD
2023-04-16,8649.54,Travel,UBER EATS
2023-03-21,456.55,Software,STARBUCKS
2023-03-14,239.06,Software,PAYROLL
2023-04-19,685.63,Uncategorized,PAYROLL
2023-05-24,-136.52,Travel,AWS CLOUD
2023-01-18,97.73,Software,UNKNOWN VENDOR
2023-07-31,990.81,Groceries,DELTA AIRLINES
2023-02-03,805.06,Uncategorized,PAYROLL
2023-01-12,-401.77,Uncategorized,DELTA AIRLINES
2023-09-14,417.37,Software,UNKNOWN VENDOR
2023-08-01,464.83,Groceries,AWS CLOUD
2023-11-08,-438.11,Groceries,PAYROLL
2023-11-04,316.2,Uncategorized,AWS CLOUD
2023-06-21,276.14,Rent,DELTA AIRLINES
2023-06-02,-415.49,Travel,PAYROLL
2023-02-26,-341.3,Uncategorized,DELTA AIRLINES
2023-06-11,765.44,,UNKNOWN VENDOR
2023-05-21,-316.81,Travel,DELTA AIRLINES
2023-09-24,761.2,Travel,UNKNOWN VENDOR
2023-06-30,628.11,Software,DELTA AIRLINES
2023-06-30,227.45,Groceries,OFFICE DEPOT
2023-02-20,413.39,Travel,DELTA AIRLINES
2023-04-27,831.44,Software,AWS CLOUD
2023-02-25,889.93,Software,PAYROLL
2023-05-03,371.69,Uncategorized,UBER EATS
2023-08-12,306.41,Software,PAYROLL
2023-10-10,3618.89,Travel,PAYROLL
2023-09-16,952.36,Rent,AWS CLOUD
2023-09-10,-222.31,Software,OFFICE DEPOT
2023-08-11,-214.03,Software,DELTA AIRLINES
2023-12-16,468.94,Travel,PAYROLL
2023-12-27,-113.77,Uncategorized,DELTA AIRLINES
2023-08-29,33.56,Travel,DELTA AIRLINES
2023-11-23,284.24,,UNKNOWN VENDOR
2023-05-12,232.68,Groceries,UBER EATS
2023-05-09,-337.5,Uncategorized,UBER EATS
2023-01-12,49.31,Groceries,OFFICE DEPOT
2023-11-02,169.58,Uncategorized,OFFICE DEPOT
2023-09-01,97.28,Travel,OFFICE DEPOT
2023-11-05,609.4,Uncategorized,DELTA AIRLINES
2023-11-01,-415.38,Travel,UBER EATS
2023-10-02,-126.78,,PAYROLL
2023-06-08,258.43,Uncategorized,OFFICE DEPOT
2023-10-11,-172.85,Groceries,UNKNOWN VENDOR
2023-06-16,550.1,,PAYROLL
2023-06-06,985.59,Software,UNKNOWN VENDOR
2023-11-10,-268.71,,STARBUCKS
2023-09-26,154.58,Travel,AWS CLOUD
2023-01-07,-395.17,Software,UBER EATS
2023-06-27,-460.63,Groceries,OFFICE DEPOT
2023-02-16,849.77,Travel,STARBUCKS
2023-07-30,377.73,Travel,PAYROLL
2023-05-14,-3.48,Rent,OFFICE DEPOT
2023-02-05,6.51,Software,OFFICE DEPOT
2023-04-07,285.65,Uncategorized,UNKNOWN VENDOR
2023-01-07,-4352.1,Uncategorized,AWS CLOUD
2023-11-02,-121.73,Software,PAYROLL
2023-08-09,625.71,Software,STARBUCKS
2023-05-07,-477.07,Rent,UBER EATS
2023-03-06,908.97,,UBER EATS
2023-03-09,-81.37,Groceries,OFFICE DEPOT
2023-02-05,-373.76,,DELTA AIRLINES
2023-09-21,566.93,Travel,UBER EATS
2023-12-19,-298.8,Travel,STARBUCKS
2023-06-24,297.97,Groceries,PAYROLL
2023-07-18,-117.17,Travel,UNKNOWN VENDOR
2023-01-18,565.99,Groceries,DELTA AIRLINES
2023-08-30,-204.01,Software,OFFICE DEPOT
2023-10-07,-281.06,Uncategorized,PAYROLL
2023-02-16,34.46,Travel,AWS CLOUD
2023-07-31,120.27,Uncategorized,STARBUCKS
2023-04-20,-72.37,Groceries,OFFICE DEPOT
2023-06-09,-81.15,,DELTA AIRLINES
2023-06-07,94.29,Travel,UBER EATS
2023-03-11,537.58,Uncategorized,DELTA AIRLINES
2023-02-08,-457.01,Software,PAYROLL
2023-11-30,511.17,Travel,PAYROLL
2023-01-07,369.83,Rent,UNKNOWN VENDOR
2023-06-10,-8.53,Software,UBER EATS
